reference_id,location_name,dataset,request_type,outcome,request_year,Source File,latitude,longitude,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m
CQ24-2498B,Fresh Pond Road & Metropolitan Avenue,Signal Study,Left Turn Arrow/Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712696,-73.900604,57,64,17,0
SR-20220329-26997,69 Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.701229,-73.902559,57,67,15,0
CQ24-3516B,Seneca Avenue & Catalpa Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.700737,-73.9042,56,67,18,0
CQ21-1280B,Cypress Avenue & Cooper Avenue,Signal Study,Traffic Signal,denied,2021.0,data_cb5_signal_studies.csv,40.694107,-73.89737,55,70,12,0
CQ21-2683,Seneca Avenue & Weirfield Street,Signal Study,Traffic Signal,approved,2021.0,data_cb5_signal_studies.csv,40.700005,-73.90296,55,73,13,0
CQ22-0432B,Cooper Avenue & Cypress Avenue,Signal Study,Leading Pedestrian Interval,denied,2022.0,data_cb5_signal_studies.csv,40.694107,-73.89737,55,70,12,0
CQ20-0552B,Cypress Avenue & Cooper Avenue,Signal Study,Leading Pedestrian Interval,denied,2020.0,data_cb5_signal_studies.csv,40.694107,-73.89737,55,70,12,0
SR-20220809-27601,Cypress Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.69411,-73.897362,55,70,12,0
CQ23-1576B,Cooper Avenue & Cypress Avenue,Signal Study,Left Turn Arrow/Signal,denied,2023.0,data_cb5_signal_studies.csv,40.694107,-73.89737,55,70,12,0
CQ23-1349B,Cypress Avenue & Cooper Avenue,Signal Study,Traffic Signal,denied,2023.0,data_cb5_signal_studies.csv,40.694107,-73.89737,55,70,12,0
CQ20-0698B,Metropolitan Avenue & 60 Street,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.7129023175027,-73.906077007385,54,64,19,0
CQ23-0751B,Fresh Pond Road & Bleecker Street,Signal Study,Left Turn Arrow/Signal,denied,2023.0,data_cb5_signal_studies.csv,40.711903,-73.90019,54,64,16,0
CQ20-0921B,Fresh Pond Road & Bleecker Street,Signal Study,Traffic Signal,denied,2020.0,data_cb5_signal_studies.csv,40.711903,-73.90019,54,64,16,0
CQ24-2502B,Metropolitan Avenue & Forest Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
CQ24-1274B,Metropolitan Avenue & Forest Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
CQ25-0094B,Metropolitan Avenue & Forest Avenue,Signal Study,Leading Pedestrian Interval,denied,2025.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
CQ23-1852B,Metropolitan Avenue & Forest Avenue,Signal Study,Traffic Signal,denied,2023.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
CQ24-1539B,Bleecker Street & Fresh Pond Road,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.711903,-73.90019,54,64,16,0
CQ21-1974B,Metropolitan Avenue & Forest Avenue,Signal Study,Leading Pedestrian Interval,denied,2021.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
CQ23-2677B,Forest Avenue & Metropolitan Avenue,Signal Study,Traffic Signal,denied,2023.0,data_cb5_signal_studies.csv,40.712902,-73.90608,54,64,19,0
