projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20231019-30827,FOREST AVENUE,68 AVENUE,68 ROAD,denied,2022-11-08,2023-11-01T12:33:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,28,31,8,0,40.703665,-73.901513,srts_citywide.csv
SR-20231011-30757,69 LANE,60 AVENUE,ELIOT AVENUE,denied,2023-10-11,2023-11-01T12:16:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,10,3,0,40.722509,-73.890421,srts_citywide.csv
SR-20220705-27454,STARR STREET,WOODWARD AVENUE,METROPOLITAN AVENUE,denied,2021-07-25,2023-11-27T12:29:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,16,20,1,0,40.711404,-73.916749,srts_citywide.csv
SR-20221028-28953,57 AVENUE,72 PLACE,73 STREET,denied,2022-10-26,,"Planning denied Pre-inspection, Closed",,,Two-way,17,19,6,0,40.728268,-73.890628,srts_citywide.csv
SR-20221004-28843,75 STREET,69 AVENUE,COOK AVENUE,denied,2022-09-30,2022-10-06T15:07:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,5,5,1,0,40.709584,-73.876811,srts_citywide.csv
SR-20220621-27347,CENTRAL AVENUE,73 STREET,73 PLACE,denied,2022-06-13,2022-11-04T15:46:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,13,13,6,0,40.705432,-73.877688,srts_citywide.csv
SR-20221107-28997,77 AVENUE,81 STREET,82 STREET,denied,2022-11-04,2022-11-07T14:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,11,11,4,0,40.706613,-73.868636,srts_citywide.csv
SR-20230428-29478,MYRTLE AVENUE,66 PLACE,66 PLACE,denied,2023-04-28,2023-11-27T12:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,8,8,4,0,40.701402,-73.887401,srts_citywide.csv
SR-20211202-26763,PUTNAM AVENUE,60 LANE,STIER PLACE,denied,2021-11-04,2023-10-24T10:54:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,10,4,0,40.706018,-73.898945,srts_citywide.csv
SR-20230428-29478,MYRTLE AVENUE,67 STREET,67 STREET,denied,2023-04-28,2023-11-27T12:25:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,7,7,3,0,40.701478,-73.886484,srts_citywide.csv
SR-20220114-26803,58 ROAD,BROWN PLACE,69 STREET,denied,2021-11-15,2024-01-11T13:19:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,11,15,2,0,40.723425,-73.895416,srts_citywide.csv
SR-20220114-26801,BROWN PLACE,55 DRIVE,58 AVENUE,denied,2021-11-12,2024-01-11T13:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,33,43,5,0,40.725111,-73.896052,srts_citywide.csv
SR-20230807-30298,72 STREET,52 AVENUE,53 AVENUE,denied,2023-08-03,2023-08-15T13:10:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,5,0,0,40.733682,-73.892131,srts_citywide.csv
SR-20241009-33426,69 LANE,60 AVENUE,ELIOT AVENUE,denied,2024-09-20,2024-10-28T14:18:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,10,3,0,40.722509,-73.890421,srts_citywide.csv
SR-20210726-26106,FRESH POND ROAD,59 AVENUE,59 ROAD,denied,2021-05-31,2024-04-16T12:28:00.000,"Accept planning proposal of Not Feasible, Closed",,,Two-way,12,13,0,0,40.719408,-73.902496,srts_citywide.csv
