referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ21-1833B,ELIOT AVENUE,72 STREET,Leading Pedestrian Interval,denied,2021-08-30,2023-02-06T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,21,2,0,40.7216515,-73.88644199999999,data_cb5_signal_studies.csv
CQ21-1754,66 STREET,53 AVENUE,All-Way Stop,denied,2021-08-17,2022-04-18T00:00:00.000,Study Request Denial,,,No,7,9,2,0,40.731358,-73.89918,data_cb5_signal_studies.csv
CQ21-1549,COOPER AVENUE,60 STREET,Traffic Signal,denied,2021-07-23,2022-03-28T00:00:00.000,Study Request Denial,,PS 68Q,No,8,8,3,0,40.69513,-73.895615,data_cb5_signal_studies.csv
CQ21-1518,69 STREET,59 DRIVE,All-Way Stop,denied,2021-07-19,2022-05-04T00:00:00.000,Study Request Denial,,,No,28,33,0,0,40.72203,-73.89322,data_cb5_signal_studies.csv
CQ21-1506B,MYRTLE AVENUE,62 STREET,Traffic Signal,denied,2021-07-20,,Engineering Study Completed     (Signals Engineering),,,No,22,26,7,0,40.70089,-73.89336,data_cb5_signal_studies.csv
CQ21-1386,GRANDVIEW AVENUE,GROVE STREET,All-Way Stop,denied,2021-07-02,2024-04-25T00:00:00.000,Study Request Denial,,,No,11,13,3,0,40.708427,-73.905525,data_cb5_signal_studies.csv
CQ21-1339,69 AVENUE,73 PLACE,All-Way Stop,denied,2021-09-24,2022-03-28T00:00:00.000,Study Request Denial,,,No,4,4,1,0,40.709814,-73.87853099999998,data_cb5_signal_studies.csv
CQ21-1280B,CYPRESS AVENUE,COOPER AVENUE,Traffic Signal,denied,2021-06-22,2021-07-30T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ21-1219,74 STREET,LONG ISLAND EXPRESSWAY,Traffic Signal,denied,2021-06-14,2022-03-28T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.73325234109461,-73.89087437329368,data_cb5_signal_studies.csv
CQ21-1190,60 STREET,56 DRIVE,All-Way Stop,denied,2021-06-11,2022-02-28T00:00:00.000,Study Request Denial,,,No,8,10,2,0,40.7238375,-73.90633700000001,data_cb5_signal_studies.csv
CQ21-1181,74 STREET,58 AVENUE,All-Way Stop,denied,2021-06-10,2022-02-14T00:00:00.000,Study Request Denial,,,No,3,5,2,0,40.726143,-73.88714,data_cb5_signal_studies.csv
CQ21-1110B,MAURICE AVENUE,BORDEN AVENUE,Left Turn Arrow/Signal,denied,2021-06-01,2022-07-12T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,45,68,1,0,40.727733,-73.906731,data_cb5_signal_studies.csv
CQ21-1061,69 ROAD,76 STREET,All-Way Stop,denied,2021-05-24,2022-03-07T00:00:00.000,Study Request Denial,,,No,4,7,2,0,40.708439,-73.876204,data_cb5_signal_studies.csv
CQ21-1060,54 AVENUE,61 STREET,All-Way Stop,denied,2021-05-24,2022-08-29T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.72784,-73.904076,data_cb5_signal_studies.csv
CQ21-1009,CYPRESS AVENUE,CLOVER PLACE,All-Way Stop,denied,2021-05-18,2022-02-07T00:00:00.000,Study Request Denial,,,No,18,19,3,0,40.69319,-73.89575,data_cb5_signal_studies.csv
CQ21-0912B,FOREST AVENUE,67 AVENUE,Traffic Signal,denied,2021-05-05,2021-05-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,22,27,6,0,40.704384,-73.90182250000001,data_cb5_signal_studies.csv
CQ21-0868B,METROPOLITAN AVENUE,WOODHAVEN BOULEVARD,Left Turn Arrow/Signal,denied,2021-04-29,2022-02-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,46,69,3,0,40.711845,-73.859764,data_cb5_signal_studies.csv
CQ21-0791,69 STREET,55 AVENUE,All-Way Stop,denied,2021-04-23,2021-10-18T00:00:00.000,Study Request Denial,,,No,24,28,5,0,40.727787,-73.89551,data_cb5_signal_studies.csv
CQ21-0748B,FRESH POND ROAD,MENAHAN STREET,Traffic Signal,denied,2021-04-21,2021-10-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,13,16,5,0,40.710851,-73.901268,data_cb5_signal_studies.csv
CQ21-0614,60 AVENUE,71 STREET,All-Way Stop,denied,2021-04-06,2021-09-27T00:00:00.000,Study Request Denial,,,No,7,9,2,0,40.72325,-73.888824,data_cb5_signal_studies.csv
CQ21-0579,BROWN PLACE,58 AVENUE,All-Way Stop,denied,2021-03-29,2021-10-04T00:00:00.000,Study Request Denial,,,No,10,12,2,0,40.724068,-73.895776,data_cb5_signal_studies.csv
CQ21-0557,60 STREET,67 AVENUE,All-Way Stop,denied,2021-03-26,2021-10-25T00:00:00.000,Study Request Denial,,PUCHATEK DAYCARE,No,15,17,6,0,40.7046605130931,-73.9004080569593,data_cb5_signal_studies.csv
CQ21-0425B,FLUSHING AVENUE,ONDERDONK AVENUE,Left Turn Arrow/Signal,denied,2021-03-04,2021-09-13T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,16,21,1,0,40.711452,-73.91987,data_cb5_signal_studies.csv
CQ21-0391B,METROPOLITAN AVENUE,FLUSHING AVENUE,Left Turn Arrow/Signal,denied,2021-02-25,2021-10-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ21-0387B,MYRTLE AVENUE,FOREST AVENUE,Traffic Signal Removal,denied,2021-02-25,2022-05-25T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,46,56,20,0,40.700497,-73.90021,data_cb5_signal_studies.csv
CQ21-0261,82 PLACE,PENELOPE AVENUE,All-Way Stop,denied,2021-02-09,2021-10-04T00:00:00.000,Study Request Denial,,,No,9,17,1,0,40.72238,-73.873753,data_cb5_signal_studies.csv
CQ21-0256,59 STREET,59 AVENUE,All-Way Stop,denied,2021-02-08,2021-08-16T00:00:00.000,Study Request Denial,,,No,10,15,1,0,40.719028,-73.908215,data_cb5_signal_studies.csv
CQ21-0215,METROPOLITAN AVENUE,64 STREET,Traffic Signal,denied,2021-02-01,2021-08-16T00:00:00.000,Study Request Denial,,,No,9,10,0,0,40.712555,-73.89711,data_cb5_signal_studies.csv
CQ20-2509B,GRAND AVENUE,74 STREET,Traffic Signal,denied,2020-12-08,2021-01-19T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,12,12,9,0,40.7301969282631,-73.8875611761351,data_cb5_signal_studies.csv
CQ20-2507B,WOODHAVEN BOULEVARD,UNION TURNPIKE,Leading Pedestrian Interval,denied,2020-12-08,2021-12-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,44,3,0,40.70559,-73.85823,data_cb5_signal_studies.csv
CQ20-2463,53 DRIVE,67 STREET,All-Way Stop,denied,2020-12-04,2021-07-06T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.729603,-73.89784,data_cb5_signal_studies.csv
CQ20-2399,60 ROAD,69 STREET,Traffic Signal,denied,2020-11-16,2021-07-06T00:00:00.000,Study Request Denial,,,No,25,32,2,0,40.72082,-73.892265,data_cb5_signal_studies.csv
CQ20-2345,METROPOLITAN AVENUE,ADMIRAL AVENUE,Traffic Signal,denied,2020-11-13,2021-07-06T00:00:00.000,Study Request Denial,,,No,7,8,0,0,40.71258,-73.897684,data_cb5_signal_studies.csv
CQ20-2281,METROPOLITAN AVENUE,FLUSHING AVENUE,Traffic Signal,denied,2020-11-05,2021-06-21T00:00:00.000,Study Request Denial,,,No,18,22,0,0,40.713295,-73.916238,data_cb5_signal_studies.csv
CQ20-2280B,69 STREET,62 AVENUE,Traffic Signal,denied,2020-11-05,2020-11-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,4,7,2,0,40.717617,-73.88954,data_cb5_signal_studies.csv
CQ20-2242,76 STREET,60 ROAD,All-Way Stop,denied,2020-10-28,2021-06-14T00:00:00.000,Study Request Denial,,,No,1,1,0,0,40.71487910247034,-73.9170547061539,data_cb5_signal_studies.csv
CQ20-2241,CALDWELL AVENUE,76 STREET,All-Way Stop,denied,2020-10-28,2021-06-14T00:00:00.000,Study Request Denial,,,No,1,1,1,0,40.7247871573391,-73.88493300424899,data_cb5_signal_studies.csv
CQ20-2164,CATALPA AVENUE,65 STREET,All-Way Stop,denied,2020-10-22,2021-06-21T00:00:00.000,Study Request Denial,,,No,7,7,3,0,40.704845,-73.892136,data_cb5_signal_studies.csv
CQ20-2144,GATES AVENUE,60 PLACE,All-Way Stop,denied,2020-10-20,2021-06-01T00:00:00.000,Study Request Denial,,,No,10,10,2,0,40.70832,-73.90144,data_cb5_signal_studies.csv
CQ20-2017,64 STREET,75 AVENUE,Traffic Signal,denied,2020-09-29,2021-06-01T00:00:00.000,Study Request Denial,,,No,10,13,2,0,40.698814,-73.89215,data_cb5_signal_studies.csv
CQ20-2012B,METROPOLITAN AVENUE,80 STREET,Left Turn Arrow/Signal,denied,2020-09-29,2021-02-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,29,32,5,0,40.713287,-73.87163,data_cb5_signal_studies.csv
CQ20-1838,68 AVENUE,64 STREET,All-Way Stop,denied,2020-09-03,2021-06-01T00:00:00.000,Study Request Denial,,,No,8,8,3,0,40.705734,-73.89449,data_cb5_signal_studies.csv
CQ20-1796B,CENTRAL AVENUE,69 PLACE,Leading Pedestrian Interval,denied,2020-09-03,2020-11-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,13,13,3,1,40.7042,-73.88288,data_cb5_signal_studies.csv
CQ20-1781,58 AVENUE,81 STREET,All-Way Stop,denied,2020-08-25,2021-06-01T00:00:00.000,Study Request Denial,,,No,7,10,0,0,40.727367,-73.87995,data_cb5_signal_studies.csv
CQ20-1732,78 AVENUE,60 STREET,All-Way Stop,denied,2020-08-18,2021-06-07T00:00:00.000,Study Request Denial,,P.S. 068 CAMBRIDGE / CHILDCARE MY FRIST STEPS DAYCARE,No,5,5,1,0,40.69609,-73.89632,data_cb5_signal_studies.csv
CQ20-1587,53 AVENUE,62 STREET,All-Way Stop,denied,2020-07-31,2021-05-04T00:00:00.000,Study Request Denial,,,No,3,3,1,0,40.73172,-73.901767,data_cb5_signal_studies.csv
CQ20-1575,GROVE STREET,60 PLACE,All-Way Stop,denied,2020-07-30,2021-05-04T00:00:00.000,Study Request Denial,,,No,9,10,1,0,40.709633,-73.90223,data_cb5_signal_studies.csv
CQ20-1559B,GRAND AVENUE,BORDEN AVENUE,Traffic Signal,denied,2020-07-28,2020-11-18T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,34,43,6,0,40.725635,-73.895856,data_cb5_signal_studies.csv
CQ20-1458B,77 AVENUE,88 STREET,Traffic Signal,denied,2020-07-20,2020-11-13T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,5,3,0,40.7064593049998,-73.8615312271111,data_cb5_signal_studies.csv
CQ20-1355B,FRESH POND ROAD,PUTNAM AVENUE,Traffic Signal,denied,2020-07-14,2021-03-01T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,38,53,12,0,40.706497,-73.89695,data_cb5_signal_studies.csv
CQ20-1334B,MYRTLE AVENUE,NORMAN STREET,Traffic Signal,denied,2020-07-14,2020-09-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,38,49,15,0,40.700516,-73.89799,data_cb5_signal_studies.csv
CQ20-1293,WOODWARD AVENUE,BLEECKER STREET,All-Way Stop,denied,2020-07-06,2021-04-26T00:00:00.000,Study Request Denial,,,No,18,19,4,0,40.70703,-73.909325,data_cb5_signal_studies.csv
CQ20-1155,METROPOLITAN AVENUE,65 LANE,Traffic Signal,denied,2020-05-28,2021-04-19T00:00:00.000,Study Request Denial,,,No,17,19,2,0,40.71244,-73.894025,data_cb5_signal_studies.csv
CQ20-1132,58 ROAD,64 STREET,All-Way Stop,denied,2020-05-14,2021-04-12T00:00:00.000,Study Request Denial,,,No,2,2,0,0,40.720743,-73.900914,data_cb5_signal_studies.csv
CQ20-1090,68 AVENUE,62 STREET,All-Way Stop,denied,2020-04-21,2021-04-12T00:00:00.000,Study Request Denial,,THE SENEEA SCHOOL,No,21,23,9,0,40.705513,-73.89538,data_cb5_signal_studies.csv
CQ20-1068,MYRTLE AVENUE,SUMMERFIELD STREET,All-Way Stop,denied,2020-03-20,2021-01-19T00:00:00.000,Study Request Denial,,,No,39,50,16,0,40.70052,-73.897962,data_cb5_signal_studies.csv
CQ20-1017,51 ROAD,69 STREET,Traffic Signal,denied,2020-03-05,2022-01-31T00:00:00.000,Study Request Denial,,PS 229,No,8,9,1,0,40.734257,-73.89603,data_cb5_signal_studies.csv
CQ20-0925B,SENECA AVENUE,CENTRE STREET,Traffic Signal,denied,2020-03-11,2020-12-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,35,51,8,0,40.699585,-73.902245,data_cb5_signal_studies.csv
CQ20-0924B,MYRTLE AVENUE,SENECA AVENUE,Traffic Signal,denied,2020-03-11,2020-12-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,49,60,15,0,40.70041,-73.90368,data_cb5_signal_studies.csv
CQ20-0921B,FRESH POND ROAD,BLEECKER STREET,Traffic Signal,denied,2020-03-11,2020-11-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,16,0,40.711903,-73.90019,data_cb5_signal_studies.csv
CQ20-0871B,69 STREET,LONG ISLAND EXPRESSWAY,Leading Pedestrian Interval,denied,2020-03-09,2020-11-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,5,5,2,0,40.73288011770822,-73.89420718490693,data_cb5_signal_studies.csv
CQ20-0756B,JUNIPER BOULEVARD SOUTH,71 STREET,Traffic Signal,denied,2020-02-28,2020-11-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,8,9,3,0,40.71752,-73.88423,data_cb5_signal_studies.csv
CQ20-0698B,METROPOLITAN AVENUE,60 STREET,Traffic Signal,denied,2020-02-26,2020-12-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,54,64,19,0,40.7129023175027,-73.906077007385,data_cb5_signal_studies.csv
CQ20-0607B,METROPOLITAN AVENUE,69 STREET,Leading Pedestrian Interval,denied,2020-02-14,2020-12-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,21,24,6,0,40.712204,-73.88638,data_cb5_signal_studies.csv
CQ20-0606B,FRESH POND ROAD,MYRTLE AVENUE,Leading Pedestrian Interval,denied,2020-02-14,2020-12-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,28,34,6,0,40.700798,-73.894585,data_cb5_signal_studies.csv
CQ20-0552B,CYPRESS AVENUE,COOPER AVENUE,Leading Pedestrian Interval,denied,2020-02-11,2022-03-31T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ20-0551B,ELIOT AVENUE,FRESH POND ROAD,Leading Pedestrian Interval,denied,2020-02-11,2020-09-30T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,33,42,7,1,40.714622,-73.90117,data_cb5_signal_studies.csv
CQ20-0463,52 DRIVE,70 STREET,Traffic Signal,denied,2020-01-14,2021-04-05T00:00:00.000,Study Request Denial,,,No,5,6,1,0,40.732248,-73.893955,data_cb5_signal_studies.csv
CQ20-0360B,GRAND AVENUE,74 STREET,Left Turn Arrow/Signal,denied,2020-01-29,2021-08-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,12,12,9,0,40.7301969282631,-73.8875611761351,data_cb5_signal_studies.csv
CQ20-0347,60 ROAD,60 STREET,All-Way Stop,denied,2020-01-24,2022-02-22T00:00:00.000,Study Request Denial,,PS 153,No,10,11,5,0,40.71574,-73.90603,data_cb5_signal_studies.csv
CQ20-0334B,58 AVENUE,69 STREET,Traffic Signal,denied,2020-01-27,2020-10-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,11,1,0,40.72462,-73.89455,data_cb5_signal_studies.csv
CQ20-0285,PENELOPE AVENUE,69 PLACE,All-Way Stop,denied,2020-01-22,2021-12-20T00:00:00.000,Study Request Denial,,PS 128,No,7,9,1,0,40.716017,-73.886351,data_cb5_signal_studies.csv
CQ20-0251,79 STREET,68 ROAD,All-Way Stop,denied,2020-01-17,2022-01-18T00:00:00.000,Study Request Denial,,PS 87,No,5,5,1,0,40.710453,-73.87339,data_cb5_signal_studies.csv
CQ20-0199B,69 STREET,LONG ISLAND EXPRESSWAY,Traffic Signal,denied,2020-01-16,2020-10-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,5,5,2,0,40.73288011770822,-73.89420718490693,data_cb5_signal_studies.csv
CQ20-0191B,59 DRIVE,60 STREET,Traffic Signal,denied,2020-01-16,2020-01-28T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,9,2,0,40.71736,-73.9064,data_cb5_signal_studies.csv
CQ20-0109B,JUNIPER BOULEVARD NORTH,80 STREET,Left Turn Arrow/Signal,denied,2020-01-13,2021-03-17T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,7,7,2,1,40.721592,-73.87647,data_cb5_signal_studies.csv
CQ20-0088,60 STREET,59 ROAD,All-Way Stop,denied,2020-01-07,2021-03-29T00:00:00.000,Study Request Denial,,,No,12,16,2,0,40.718044,-73.90655,data_cb5_signal_studies.csv
CQ20-0087,60 STREET,59 AVENUE,All-Way Stop,denied,2020-01-07,2021-03-22T00:00:00.000,Study Request Denial,,,No,10,15,1,0,40.718796,-73.90671,data_cb5_signal_studies.csv
CQ20-0086,FLUSHING AVENUE,60 STREET,Traffic Signal,denied,2020-01-07,2021-04-12T00:00:00.000,Study Request Denial,,,No,9,13,1,0,40.719334,-73.906845,data_cb5_signal_studies.csv
CQ20-0076,MYRTLE AVENUE,72 STREET,Traffic Signal,denied,2020-01-08,2021-04-12T00:00:00.000,Study Request Denial,,,No,21,30,5,0,40.702145,-73.87826,data_cb5_signal_studies.csv
CQ18-2390B,METROPOLITAN AVENUE,73 PLACE,Left Turn Arrow/Signal,denied,2020-02-11,2020-09-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,23,28,12,0,40.712727,-73.87935,data_cb5_signal_studies.csv
