referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ23-1616,61 STREET,56 DRIVE,All-Way Stop,denied,2023-06-13,2023-10-24T00:00:00.000,Study Request Denial,,MARTIN LUTHER SCHOOL,No,7,10,4,0,40.723705,-73.90446,data_cb5_signal_studies.csv
CQ23-1602,67 DRIVE,78 STREET,All-Way Stop,denied,2023-06-10,2023-09-07T00:00:00.000,Study Request Denial,,HAPPY CATERPILLAR CLUBHOUSE CHILDCARE.,No,6,8,2,0,40.71171,-73.8754,data_cb5_signal_studies.csv
CQ23-1576B,COOPER AVENUE,CYPRESS AVENUE,Left Turn Arrow/Signal,denied,2023-05-24,2024-10-05T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ23-1519B,DRY HARBOR ROAD,FURMANVILLE AVENUE,Traffic Signal,denied,2023-05-12,2023-07-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,5,6,4,0,40.716160233060826,-73.88138506979227,data_cb5_signal_studies.csv
CQ23-1390,CODY AVENUE,WYCKOFF AVENUE,All-Way Stop,denied,2023-05-11,2023-08-28T00:00:00.000,Study Request Denial,,,No,0,0,0,0,40.68692617586851,-73.88898363304652,data_cb5_signal_studies.csv
CQ23-1381B,DECATUR STREET,FOREST AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-11-16T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,10,0,0,40.698753,-73.89726,data_cb5_signal_studies.csv
CQ23-1380B,FOREST AVENUE,NORMAN STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,24,33,10,0,40.69966,-73.8988,data_cb5_signal_studies.csv
CQ23-1379B,FOREST AVENUE,GATES AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,9,5,0,40.707804,-73.903624,data_cb5_signal_studies.csv
CQ23-1375B,FOREST AVENUE,PUTNAM AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-11-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ23-1372B,FOREST AVENUE,MADISON STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-11-20T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ23-1367B,FOREST AVENUE,GROVE STREET,Leading Pedestrian Interval,denied,2023-05-08,2023-08-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,20,29,5,0,40.70913,-73.90436,data_cb5_signal_studies.csv
CQ23-1366B,FOREST AVENUE,GREENE AVENUE,Leading Pedestrian Interval,denied,2023-05-08,2023-08-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,48,55,17,0,40.71184,-73.905594,data_cb5_signal_studies.csv
CQ23-1349B,CYPRESS AVENUE,COOPER AVENUE,Traffic Signal,denied,2023-03-18,2023-05-26T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,55,70,12,0,40.694107,-73.89737,data_cb5_signal_studies.csv
CQ23-1269B,69 STREET,JUNIPER VALLEY ROAD,Traffic Signal,denied,2023-05-02,2023-05-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,9,11,3,0,40.72184062371875,-73.89068898306941,data_cb5_signal_studies.csv
CQ23-1132,77 ROAD,80 STREET,All-Way Stop,denied,2023-04-21,2023-09-07T00:00:00.000,Study Request Denial,,,No,10,10,3,0,40.70608,-73.86882,data_cb5_signal_studies.csv
CQ23-1086,59 STREET,58 DRIVE,All-Way Stop,denied,2023-04-20,2023-06-12T00:00:00.000,Study Request Denial,,,No,6,7,1,0,40.720461,-73.908303,data_cb5_signal_studies.csv
CQ23-1009,78 AVENUE,82 STREET,Traffic Signal,denied,2023-04-12,2024-06-17T00:00:00.000,Study Request Denial,,SACRED HEART CATHOLIC ACADEMY OF GLENDALE,No,10,13,3,0,40.705519,-73.866878,data_cb5_signal_studies.csv
CQ23-0862,73 PLACE,67 DRIVE,All-Way Stop,denied,2023-03-29,2023-05-15T00:00:00.000,Study Request Denial,,,No,3,4,4,0,40.711163,-73.87907,data_cb5_signal_studies.csv
CQ23-0860B,FLUSHING AVENUE,54 STREET,Traffic Signal,denied,2023-03-30,2023-08-09T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,14,24,2,0,40.7148898460946,-73.91349073239209,data_cb5_signal_studies.csv
CQ23-0850,60 STREET,BLEECKER STREET,All-Way Stop,denied,2023-03-30,2023-06-20T00:00:00.000,Study Request Denial,,P.S. 071 FOREST ELEMENTARY,No,18,27,4,0,40.710755,-73.90509199999998,data_cb5_signal_studies.csv
